WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION
60;920000.0;F;9;cocinero
48;1380000.0;F;32;cocinero
48;2050000.0;M;22;cocinero
56;1440000.0;F;68;cocinero
20;150000.0;F;31;cocinero
30;380000.0;M;39;cocinero
70;50000.0;F;13;cocinero
48;450000.0;F;32;cocinero
54;1000000.0;F;12;cocinero
60;1400000.0;M;8;cocinero
54;750000.0;M;5;cocinero
40;700000.0;F;17;cocinero
24;450000.0;M;35;cocinero
54;1200000.0;M;25;cocinero
48;1150000.0;F;15;cocinero
45;1000000.0;M;43;cocinero
40;1200000.0;M;12;cocinero
50;500000.0;M;19;cocinero
25;150000.0;M;39;cocinero
8;120000.0;M;62;cocinero
45;840000.0;M;35;cocinero
20;200000.0;M;37;cocinero
48;800000.0;F;63;cocinero
60;960000.0;M;76;cocinero
48;1160000.0;M;13;cocinero
24;300000.0;F;38;cocinero
8;640000.0;M;19;cocinero
50;1000000.0;F;11;cocinero
60;1560000.0;F;44;cocinero
48;1160000.0;M;40;cocinero
48;960000.0;F;25;cocinero
14;200000.0;F;5;cocinero
16;200000.0;M;55;cocinero
48;1000000.0;F;25;cocinero
20;500000.0;F;59;cocinero
24;400000.0;M;8;cocinero
54;1080000.0;F;35;cocinero
19;200000.0;M;24;cocinero
48;430000.0;F;51;cocinero
48;1160000.0;M;71;cocinero
12;380000.0;M;31;cocinero
40;800000.0;F;12;cocinero
48;1300000.0;M;15;cocinero
24;600000.0;F;54;cocinero
60;770000.0;F;12;cocinero
54;1190000.0;M;16;cocinero
70;25000.0;F;10;cocinero
35;400000.0;M;24;cocinero
60;1480000.0;M;28;cocinero
48;1410000.0;F;60;cocinero
48;1160000.0;M;39;cocinero
48;1300000.0;M;9;cocinero
40;600000.0;F;32;cocinero
42;650000.0;M;41;cocinero
50;230000.0;M;60;cocinero
48;1160000.0;F;48;cocinero
40;400000.0;F;24;cocinero
20;300000.0;M;30;cocinero
48;1200000.0;M;39;cocinero
48;1350000.0;M;46;cocinero
48;1300000.0;M;85;cocinero
48;600000.0;M;11;cocinero
48;1160000.0;F;9;cocinero
60;1400000.0;M;10;cocinero
15;420000.0;M;17;cocinero
48;1160000.0;F;7;cocinero
