CONTRATO_CONT;CONTRATO_TRABAJO;MESES_TRABAJO;HORAS_SEMANA_TRAB;TRABAJO_LUGAR;FONDO;INGRESOS_LABORALES;ACTIVIDAD_DEDICA;OFICIO_C8;ID;URB_RURAL;DEPARTAMENTO;SEXO;AÑOS_CUMPLIDOS;CULTURA;Código C.I.U.O.;Nombre Denominación;Descripción Ocupación
4;1;4;48;7;1;1300000.0;47;4321;137345243;1;11;F;21;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
8;1;12;48;7;1;1100000.0;78;4321;137345252;1;11;M;5;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
6;1;6;48;7;1;1300000.0;47;4321;117345300;1;13;M;64;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
1;1;1;48;7;1;1160000.0;46;4321;167345318;1;13;M;2;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
420;1;12;40;7;1;2200000.0;21;4321;127345347;1;13;F;63;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
96;1;12;40;7;1;1400000.0;82;4321;117345356;1;13;M;49;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
14;1;12;48;7;1;1160000.0;86;4321;137345374;1;15;F;20;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
7;1;12;48;11;1;1800000.0;41;4321;147345374;1;15;M;18;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
19;1;12;48;7;1;1200000.0;47;4321;117345389;1;15;F;58;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
8;1;8;48;7;1;1160000.0;47;4321;137345395;1;15;F;21;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
3;1;12;48;7;1;1200000.0;47;4321;117345492;1;18;F;46;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
336;1;12;48;7;1;2150000.0;47;4321;147345502;1;18;M;12;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
4;1;4;16;7;2;320000.0;43;4321;157345526;1;18;F;12;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
108;1;12;48;7;1;1160000.0;1;4321;117345551;1;19;M;61;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
18;1;12;66;7;1;1450000.0;47;4321;127345581;1;19;F;13;1;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
70;1;12;48;7;3;1170000.0;41;4321;127345612;1;20;M;17;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
24;1;12;48;7;1;1160000.0;47;4321;137345648;1;23;M;14;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
180;1;12;48;7;1;1800000.0;86;4321;127345698;1;27;F;6;5;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
24;1;12;48;7;1;1360000.0;29;4321;137345718;1;27;F;11;5;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
60;1;12;48;9;1;1800000.0;42;4321;127345849;1;50;F;43;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
204;1;12;48;7;1;1160000.0;56;4321;117345976;1;54;M;35;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
96;1;12;50;7;1;1700000.0;46;4321;157345982;1;54;M;4;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
3;1;10;48;9;1;1160000.0;41;4321;147346099;1;63;M;17;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
36;1;12;48;7;1;1160000.0;47;4321;137346102;1;63;M;11;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
3;1;11;48;7;1;1160000.0;30;4321;127346110;1;66;F;21;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
60;1;12;48;7;1;1300000.0;47;4321;167346110;1;66;F;16;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
2;1;12;48;7;1;1400000.0;46;4321;147346117;1;66;M;40;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
12;1;12;48;4;1;1160000.0;47;4321;117346167;1;66;F;79;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
4;1;4;48;7;1;1160000.0;47;4321;117346230;1;68;F;30;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
24;1;12;48;7;1;1500000.0;42;4321;137346236;1;68;F;11;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
24;1;12;48;7;1;1160000.0;94;4321;137346275;1;68;M;38;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
60;1;12;48;7;1;1160000.0;30;4321;117346284;1;68;F;78;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
18;1;12;48;4;1;1160000.0;46;4321;137346291;1;68;M;46;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
14;1;12;62;7;1;1500000.0;47;4321;117346316;1;68;M;45;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
12;1;12;48;7;1;1200000.0;51;4321;137346377;1;73;F;67;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
180;1;12;48;7;1;1500000.0;47;4321;127346391;1;76;F;30;5;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
1;1;1;40;9;2;1200000.0;41;4321;117346415;1;76;M;71;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
1;1;1;40;9;2;1200000.0;41;4321;127346415;1;76;F;72;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
3;1;11;48;7;1;1310000.0;10;4321;127346442;1;76;F;41;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
2;1;2;48;7;2;550000.0;47;4321;157346553;1;97;F;2;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
1;1;8;48;7;2;1160000.0;49;4321;117346571;2;13;F;66;5;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
5;1;5;48;7;1;1500000.0;47;4321;117346574;2;13;M;42;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
7;1;10;60;7;1;1160000.0;52;4321;127346574;2;13;F;40;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
145;1;12;50;7;1;1160000.0;47;4321;147346662;2;11;M;9;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
60;4;12;40;7;2;800000.0;47;4321;117346669;2;18;M;76;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
3;1;12;40;7;2;1920000.0;47;4321;147346692;1;15;M;13;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
204;1;12;48;7;1;1160000.0;22;4321;137346969;2;66;M;9;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
260;1;12;48;7;1;1460000.0;45;4321;127346972;2;66;F;73;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
6;1;12;48;7;1;1300000.0;52;4321;117346998;1;5;M;40;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
72;1;12;48;7;1;1160000.0;42;4321;147347127;1;5;F;8;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
120;1;12;44;7;2;1160000.0;47;4321;117347156;1;5;F;43;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
60;1;12;48;7;1;1160000.0;14;4321;137347165;1;5;M;8;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
10;1;12;48;7;1;1600000.0;61;4321;117347248;1;5;F;38;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
13;1;12;48;7;1;1357400.0;1;4321;167347362;1;8;M;63;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
60;1;12;48;7;1;1126000.0;21;4321;137347651;1;13;F;10;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
240;1;12;48;7;1;1500000.0;21;4321;117347658;1;13;M;57;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
30;1;12;66;7;1;1160000.0;47;4321;137347698;1;13;M;10;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
1;1;12;48;7;1;1160000.0;33;4321;157347791;1;15;F;18;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
96;2;12;40;7;1;3000000.0;84;4321;117347798;1;15;M;55;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
24;1;12;48;7;1;1160000.0;46;4321;127347813;1;15;F;27;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
6;1;6;48;7;1;1160000.0;10;4321;117347836;1;15;F;52;6;4321;almacenista;Reciben, clasifican, registran, pesan, almacenan, despachan, alistan pedidos y materiales, empacan, embalan, rotulan, unitarizan los suministros, materiales de producción recibidos y equipos en centros de distribución y expedición, almacenes y plataformas para mantener un control continuo según normativa y el tipo de producto. Se pueden desempeñar en empresas, comercializadoras de venta al detal y al por mayor, transportadoras, puertos, empresas públicas y privadas, entre otros.
