MONTHS WORKED;WEEKLY HOURS WORKED;SALARY;SEX;AGE;OCCUPATION;VALUE OF THE HOUR
12;72;1448000.0;M;58;cocinero;4633.9
11;54;940000.0;M;22;cocinero;4010.9
12;30;150000.0;F;31;cocinero;1152.1
12;48;1160000.0;M;58;cocinero;5568.4
12;48;1160000.0;M;53;cocinero;5568.4
12;24;800000.0;M;50;cocinero;7680.5
12;72;1000000.0;F;21;cocinero;3200.2
12;48;1100000.0;F;42;cocinero;5280.3
12;48;600000.0;M;23;cocinero;2880.2
12;48;960000.0;M;59;cocinero;4608.3
12;56;1040000.0;M;51;cocinero;4279.1
6;9;250000.0;F;63;cocinero;6400.4
12;30;150000.0;M;20;cocinero;1152.1
12;30;200000.0;F;44;cocinero;1536.1
12;10;100000.0;F;80;cocinero;2304.1
1;60;700000.0;M;19;cocinero;2688.2
9;50;800000.0;M;28;cocinero;3686.6
12;48;1950000.0;F;21;cocinero;9360.6
12;60;1400000.0;F;32;cocinero;5376.3
12;98;1000000.0;F;13;cocinero;2351.2
12;50;1000000.0;F;26;cocinero;4608.3
2;36;300000.0;M;12;cocinero;1920.1
12;48;1660000.0;M;26;cocinero;7968.5
12;66;1360000.0;M;40;cocinero;4747.9
12;48;1540000.0;M;14;cocinero;7392.5
12;48;1600000.0;M;12;cocinero;7680.5
12;48;1500000.0;F;88;cocinero;7200.5
12;25;100000.0;M;75;cocinero;921.7
12;20;420000.0;M;37;cocinero;4838.7
12;45;800000.0;M;34;cocinero;4096.3
12;48;200000.0;F;27;cocinero;960.1
8;16;240000.0;M;24;cocinero;3456.2
12;48;1000000.0;F;39;cocinero;4800.3
12;24;300000.0;F;40;cocinero;2880.2
12;21;500000.0;M;32;cocinero;5486.1
5;84;1000000.0;F;34;cocinero;2743.0
12;48;900000.0;F;59;cocinero;4320.3
4;50;800000.0;F;70;cocinero;3686.6
12;48;1150000.0;M;11;cocinero;5520.4
12;40;300000.0;F;88;cocinero;1728.1
12;105;1800000.0;F;33;cocinero;3950.0
12;54;600000.0;F;50;cocinero;2560.2
12;48;1400000.0;M;39;cocinero;6720.4
3;42;1000000.0;F;34;cocinero;5486.1
12;60;850000.0;F;45;cocinero;3264.2
12;60;900000.0;M;14;cocinero;3456.2
12;48;1360000.0;M;29;cocinero;6528.4
1;30;30000.0;M;90;cocinero;230.4
12;40;700000.0;M;69;cocinero;4032.3
12;40;1100000.0;F;67;cocinero;6336.4
12;24;400000.0;F;9;cocinero;3840.2
3;48;700000.0;F;69;cocinero;3360.2
8;8;40000.0;M;40;cocinero;1152.1
8;48;920000.0;F;9;cocinero;4416.3
12;30;600000.0;M;30;cocinero;4608.3
12;36;950000.0;F;60;cocinero;6080.4
12;48;300000.0;F;25;cocinero;1440.1
12;60;1500000.0;M;88;cocinero;5760.4
12;48;1160000.0;F;60;cocinero;5568.4
3;48;1300000.0;M;37;cocinero;6240.4
12;60;920000.0;F;9;cocinero;3533.0
12;48;1380000.0;F;32;cocinero;6624.4
12;48;2050000.0;M;22;cocinero;9840.6
12;56;1440000.0;F;68;cocinero;5925.0
12;20;150000.0;F;31;cocinero;1728.1
12;30;380000.0;M;39;cocinero;2918.6
3;70;50000.0;F;13;cocinero;164.6
12;48;450000.0;F;32;cocinero;2160.1
1;54;1000000.0;F;12;cocinero;4266.9
12;60;1400000.0;M;8;cocinero;5376.3
12;54;750000.0;M;5;cocinero;3200.2
12;40;700000.0;F;17;cocinero;4032.3
4;24;450000.0;M;35;cocinero;4320.3
12;54;1200000.0;M;25;cocinero;5120.3
12;48;1150000.0;F;15;cocinero;5520.4
12;45;1000000.0;M;43;cocinero;5120.3
12;40;1200000.0;M;12;cocinero;6912.4
4;50;500000.0;M;19;cocinero;2304.1
2;25;150000.0;M;39;cocinero;1382.5
2;8;120000.0;M;62;cocinero;3456.2
12;45;840000.0;M;35;cocinero;4301.1
10;20;200000.0;M;37;cocinero;2304.1
1;48;800000.0;F;63;cocinero;3840.2
12;60;960000.0;M;76;cocinero;3686.6
8;48;1160000.0;M;13;cocinero;5568.4
12;24;300000.0;F;38;cocinero;2880.2
12;8;640000.0;M;19;cocinero;18433.2
1;50;1000000.0;F;11;cocinero;4608.3
8;60;1560000.0;F;44;cocinero;5990.8
12;48;1160000.0;M;40;cocinero;5568.4
12;48;960000.0;F;25;cocinero;4608.3
12;14;200000.0;F;5;cocinero;3291.6
3;16;200000.0;M;55;cocinero;2880.2
12;48;1000000.0;F;25;cocinero;4800.3
12;20;500000.0;F;59;cocinero;5760.4
12;24;400000.0;M;8;cocinero;3840.2
8;54;1080000.0;F;35;cocinero;4608.3
12;19;200000.0;M;24;cocinero;2425.4
12;48;430000.0;F;51;cocinero;2064.1
12;48;1160000.0;M;71;cocinero;5568.4
12;12;380000.0;M;31;cocinero;7296.5
12;40;800000.0;F;12;cocinero;4608.3
12;48;1300000.0;M;15;cocinero;6240.4
12;24;600000.0;F;54;cocinero;5760.4
12;60;770000.0;F;12;cocinero;2957.0
12;54;1190000.0;M;16;cocinero;5077.7
12;70;25000.0;F;10;cocinero;82.3
12;35;400000.0;M;24;cocinero;2633.3
12;60;1480000.0;M;28;cocinero;5683.6
12;48;1410000.0;F;60;cocinero;6768.4
12;48;1160000.0;M;39;cocinero;5568.4
12;48;1300000.0;M;9;cocinero;6240.4
12;40;600000.0;F;32;cocinero;3456.2
12;42;650000.0;M;41;cocinero;3565.9
5;50;230000.0;M;60;cocinero;1059.9
12;48;1160000.0;F;48;cocinero;5568.4
12;40;400000.0;F;24;cocinero;2304.1
12;20;300000.0;M;30;cocinero;3456.2
12;48;1200000.0;M;39;cocinero;5760.4
11;48;1350000.0;M;46;cocinero;6480.4
12;48;1300000.0;M;85;cocinero;6240.4
12;48;600000.0;M;11;cocinero;2880.2
12;48;1160000.0;F;9;cocinero;5568.4
12;60;1400000.0;M;10;cocinero;5376.3
12;15;420000.0;M;17;cocinero;6451.6
12;48;1160000.0;F;7;cocinero;5568.4
12;48;600000.0;F;62;cocinero;2880.2
12;16;100000.0;F;18;cocinero;1440.1
12;36;1300000.0;F;65;cocinero;8320.5
12;20;200000.0;M;74;cocinero;2304.1
12;40;800000.0;M;57;cocinero;4608.3
12;40;600000.0;M;42;cocinero;3456.2
8;38;300000.0;M;82;cocinero;1819.1
12;36;450000.0;F;23;cocinero;2880.2
12;40;300000.0;M;65;cocinero;1728.1
1;12;300000.0;F;40;cocinero;5760.4
12;40;600000.0;M;77;cocinero;3456.2
12;60;750000.0;M;51;cocinero;2880.2
5;48;600000.0;M;17;cocinero;2880.2
12;30;800000.0;F;90;cocinero;6144.4
