MONTHS_WORKED;HOURS_PER_WEEK;SALARY;URBAN_RURAL;SEX;AGE;CODE_C.I.U.O.;OCCUPATION;VALUE_OF_THE_HOUR
12;40;950000.0;1;F;29;9212;arriero;5472.4
12;40;900000.0;1;F;7;9212;arriero;5184.3
12;50;1160000.0;1;F;8;9212;arriero;5345.6
8;48;200000.0;2;F;57;9212;arriero;960.1
12;54;180000.0;1;M;19;9212;arriero;768.0
8;20;160000.0;2;F;12;5120;cocinero;1843.3
12;30;450000.0;2;M;29;5120;cocinero;3456.2
12;10;100000.0;1;F;45;5120;cocinero;2304.1
2;60;1500000.0;1;F;70;5120;cocinero;5760.4
12;48;1160000.0;1;M;5;5120;cocinero;5568.4
4;40;800000.0;1;F;50;5120;cocinero;4608.3
12;40;800000.0;1;F;10;5120;cocinero;4608.3
12;56;800000.0;1;F;61;5120;cocinero;3291.6
12;32;160000.0;1;F;63;5120;cocinero;1152.1
11;48;2000000.0;1;M;17;5120;cocinero;9600.6
12;60;750000.0;1;M;47;5120;cocinero;2880.2
12;15;200000.0;1;M;6;5120;cocinero;3072.2
12;48;1000000.0;1;F;58;5120;cocinero;4800.3
12;46;150000.0;1;F;14;5120;cocinero;751.4
12;56;1206000.0;1;M;52;5120;cocinero;4962.1
10;77;800000.0;1;M;61;5120;cocinero;2393.9
12;60;800000.0;1;F;51;5120;cocinero;3072.2
11;28;300000.0;1;F;66;5120;cocinero;2468.7
12;60;1080000.0;1;F;9;5120;cocinero;4147.5
8;50;800000.0;1;F;27;5120;cocinero;3686.6
12;48;1160000.0;1;M;16;5120;cocinero;5568.4
12;72;1448000.0;1;M;58;5120;cocinero;4633.9
11;54;940000.0;1;M;22;5120;cocinero;4010.9
12;30;150000.0;1;F;31;5120;cocinero;1152.1
12;48;1160000.0;1;M;58;5120;cocinero;5568.4
12;48;1160000.0;1;M;53;5120;cocinero;5568.4
12;24;800000.0;1;M;50;5120;cocinero;7680.5
12;72;1000000.0;1;F;21;5120;cocinero;3200.2
12;48;1100000.0;1;F;42;5120;cocinero;5280.3
12;48;600000.0;1;M;23;5120;cocinero;2880.2
12;48;960000.0;1;M;59;5120;cocinero;4608.3
12;56;1040000.0;1;M;51;5120;cocinero;4279.1
6;9;250000.0;1;F;63;5120;cocinero;6400.4
12;30;150000.0;1;M;20;5120;cocinero;1152.1
12;30;200000.0;1;F;44;5120;cocinero;1536.1
12;10;100000.0;1;F;80;5120;cocinero;2304.1
1;60;700000.0;1;M;19;5120;cocinero;2688.2
9;50;800000.0;1;M;28;5120;cocinero;3686.6
